name,gender,birthyear,n_raters,occupation,industry,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,likability,pred_likability
Donald Trump,Male,1946,34,BUSINESSPERSON,BUSINESS,5.088235294117647,6.676470588235294,2.8823529411764706,5.617647058823529,3,1.1470588235294117,1.7058823529411764,5.294117647058823,1.6764705882352942,4.382352941176471,-65.23529411764706,-43.06024242336869
Stephen King,Male,1947,29,WRITER,LANGUAGE,3.5172413793103448,4.275862068965517,5.758620689655173,3.413793103448276,5.241379310344827,4.689655172413793,3.5517241379310347,2.4827586206896552,4.344827586206897,1.7586206896551724,24.06896551724138,25.44337204525874
Simon Cowell,Male,1959,21,PRODUCER,BUSINESS,5.285714285714286,6.619047619047619,5.714285714285714,4.095238095238095,4.333333333333333,2.333333333333333,2.238095238095238,2.761904761904762,3.6666666666666665,3.6666666666666665,2.1904761904761907,18.10399052222334
Rosa Parks,Female,1913,26,SOCIAL ACTIVIST,ACTIVISM,4.5,4,6.153846153846154,2.6538461538461537,5.423076923076923,4.153846153846154,5.769230769230769,1.8846153846153848,5.538461538461538,2.3846153846153846,82.11538461538461,51.54196872927283
Kim Jong-il,Male,1941,18,POLITICIAN,GOVERNMENT,3.7222222222222223,6.666666666666667,3.888888888888889,5.055555555555555,2.5,4,1.3333333333333333,3.9444444444444446,1.9444444444444444,4.277777777777778,-86.38888888888889,-70.15995724176076
Steve Wozniak,Male,1950,15,INVENTOR,INVENTION,5.133333333333334,3.333333333333333,5.8,3.066666666666667,6.066666666666666,4.133333333333334,5.133333333333334,2.1333333333333333,5,1.8,60.333333333333336,23.511352517928906
Anne Frank,Female,1929,29,WRITER,LANGUAGE,4.241379310344827,2.4827586206896552,6.103448275862069,3.206896551724138,5.068965517241379,5.206896551724138,6.310344827586207,1.7586206896551724,5.275862068965517,2.2413793103448274,87.3103448275862,45.759480756952385
Michelle Obama,Female,1964,24,COMPANION,COMPANIONS,5.583333333333333,2.958333333333333,5.708333333333333,2.2916666666666665,5.416666666666667,3.5,5.666666666666667,2,5.583333333333333,2.4166666666666665,59.708333333333336,51.207415063469696
Saddam Hussein,Male,1937,37,POLITICIAN,GOVERNMENT,4.216216216216216,6.405405405405405,4.054054054054054,5.54054054054054,3.1621621621621623,2.297297297297298,1.4054054054054057,3.27027027027027,2.189189189189189,3.675675675675676,-86.32432432432432,-63.823437836863675
Joe Biden,Male,1942,35,POLITICIAN,GOVERNMENT,4.942857142857143,3.6857142857142855,4.971428571428572,3.257142857142857,4.457142857142857,3.628571428571429,5.114285714285714,3.2,4.971428571428572,4.2,33,25.72282637414874
J. K. Rowling,Female,1965,32,WRITER,LANGUAGE,4.1875,4.75,5.65625,3.46875,4.65625,4.125,4.4375,2.53125,4.5625,2.15625,21.28125,34.75364475297278
Vladimir Putin,Male,1952,31,POLITICIAN,GOVERNMENT,4.612903225806452,6.32258064516129,5.290322580645161,4.290322580645161,3.2580645161290325,3.129032258064516,1.6129032258064515,2.3870967741935485,3.2580645161290325,4.161290322580645,-68.83870967741936,-38.73263516872011
Pope Benedict XVI,Male,1927,15,RELIGIOUS FIGURE,RELIGION,3.533333333333333,3.4,5.866666666666666,2.533333333333333,3.733333333333333,4.533333333333333,5,2,5.733333333333333,4.533333333333333,30.266666666666666,0.2261556396706581
